src_form,tgt_form,tgt_lang,meaning,sem_field,sem_cat,ID,Target_Form_ID,Target_Form_Row_ID,Target_WOLD_ID,Target_Language_ID_CLDF,Target_Glottocode,Source_Language,Source_Glottocode,Parameter_ID,Concepticon_ID,Concepticon_Gloss,Target_Borrowed,Target_Borrowed_Score,Borrowing_Comment,Borrowing_Source,label_loan,neg_type,pair_source,src_form_norm,tgt_form_norm,row_uid
bruku,buúku,Saramaccan,the trousers,Clothing and grooming,Noun,4705.0,Saramaccan-6-48-1,46998.0,36.0,36.0,sara1340,Sranan,sran1240,6-48,809.0,TROUSERS,1. clearly borrowed,1.0,,,1,positive,wold_positive,bruku,buúku,pos_0004562
Dik-,ɗiha,Gawwada,to count,Quantity,Verb,16201.0,Gawwada-13-107-1,9280.0,3.0,3.0,gaww1239,Konso,kons1243,13-107,1420.0,COUNT,3. perhaps borrowed,0.5,,,1,positive,wold_positive,Dik-,ɗiha,pos_0015409
sürekx,pemun,Swahili,the workshop,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,sürekx,pemun,noncognate_external_0008354
maamá,maamá,Saramaccan,the mother's sister,Kinship,Noun,4545.0,Saramaccan-2-521-1,46596.0,36.0,36.0,sara1340,Loango,,2-521,2693.0,MATERNAL AUNT (MOTHER'S SISTER),3. perhaps borrowed,0.5,,,1,positive,wold_positive,maamá,maamá,pos_0004437
jihva,chiwhǎa,Thai,the tongue,The body,Noun,20750.0,Thai-4-26-2,55212.0,23.0,23.0,thai1261,Sanskrit,sans1269,4-26,1205.0,TONGUE,1. clearly borrowed,1.0,,,1,positive,wold_positive,jihva,chiwhǎa,pos_0019748
túhu,tу́häшим,Kanuri,the crime,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,túhu,tу́häшим,cognate_external_0000310
yàaŋ,yaas,White Hmong,the plastic,Modern world,Noun,7717.0,WhiteHmong-23-57-1,61269.0,25.0,25.0,hmon1333,Lao,laoo1244,23-57,654.0,PLASTIC,1. clearly borrowed,1.0,,,1,positive,wold_positive,yàaŋ,yaas,pos_0007335
ada,ошéмямъ,Tarifiyt Berber,the pen,Speech and language,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ada,ошéмямъ,noncognate_external_0004446
ag,ɟʝyrek,Kanuri,the good luck,Emotions and values,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ag,ɟʝyrek,noncognate_external_0001214
ašna·za,mölsü,Yaqui,to condemn,Law,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ašna·za,mölsü,noncognate_external_0009296
tɐ̞wɐ̞ksɨ,mǖkǖ,Seychelles Creole,the buttocks,The body,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tɐ̞wɐ̞ksɨ,mǖkǖ,noncognate_external_0004935
чирѐ,туhу,Yaqui,to announce,Speech and language,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,чирѐ,туhу,noncognate_external_0002851
savanna,savana,Swahili,the savanna,The physical world,Noun,8573.0,Swahili-1-411-3,51642.0,1.0,1.0,swah1253,English,stan1293,1-411,260.0,SAVANNA,1. clearly borrowed,1.0,,,1,positive,wold_positive,savanna,savana,pos_0008186
jürak,dschurak,Archi,the beginning,Time,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jürak,dschurak,cognate_external_0002251
película,pelikula,Otomi,the film/movie,Modern world,Noun,16829.0,Otomi-23-62-1,40603.0,35.0,35.0,mezq1235,Spanish,stan1288,23-62,216.0,MOVIE,1. clearly borrowed,1.0,,,1,positive,wold_positive,película,pelikula,pos_0016030
akšaza,ошéмямъ,Kanuri,the ewe,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšaza,ошéмямъ,cognate_external_0005153
ɨraːx,ɨrɑχ,Indonesian,to invite,Social and political relations,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ɨraːx,ɨrɑχ,cognate_external_0003315
ebure,aɣula,Vietnamese,the temple,Religion and belief,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ebure,aɣula,noncognate_external_0002438
balay (Literary Mongolian),balay,Sakha,blind,The body,Adjective,17091.0,Sakha-4-97-1,45351.0,19.0,19.0,yaku1245,Mongolic,,4-97,1653.0,BLIND,1. clearly borrowed,1.0,,,1,positive,wold_positive,balay (Literary Mongolian),balay,pos_0016276
motor,móotàa,Hausa,the car,Modern world,Noun,11192.0,Hausa-23-14-1,12259.0,4.0,4.0,haus1257,English,stan1293,23-14,1111.0,CAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,motor,móotàa,pos_0010663
učitel ́,üštel,Bezhta,the teacher,Cognition,Noun,18828.0,Bezhta-17-27-1,4111.0,15.0,15.0,bezh1248,Russian,russ1263,17-27,1038.0,TEACHER,1. clearly borrowed,1.0,,,1,positive,wold_positive,učitel ́,üštel,pos_0017910
ɟɵʟo,muru,Kildin Saami,the anchor,Motion,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ɟɵʟo,muru,noncognate_external_0005650
þrír,aga,Seychelles Creole,the shame,Emotions and values,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,þrír,aga,noncognate_external_0006397
ašoldoms,ašnazi͔ńe,Selice Romani,the boundary,Social and political relations,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ašoldoms,ašnazi͔ńe,cognate_external_0008984
sabbáta (Plural),sobota,Lower Sorbian,Saturday,Time,Noun,18220.0,LowerSorbian-14-68-1,28782.0,10.0,10.0,lowe1385,Latin,,14-68,1700.0,SATURDAY,1. clearly borrowed,1.0,,,1,positive,wold_positive,sabbáta (Plural),sobota,pos_0017314
piDD-,pitam,Gawwada,to buy,Possession,Verb,16191.0,Gawwada-11-81-1,9187.0,3.0,3.0,gaww1239,Konso,kons1243,11-81,1869.0,BUY,4. very little evidence for borrowing,0.25,,,1,positive,wold_positive,piDD-,pitam,pos_0015399
kɔtu,sürɛx,English,the pot,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,kɔtu,sürɛx,noncognate_external_0004835
hʉrjax,sʉræx,Romanian,the necklace,Clothing and grooming,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,hʉrjax,sʉræx,cognate_external_0006389
